Category,Metric,varianta_main_g1 Mean,variantb_main_parallel Mean,varianta_main_g1 P50,variantb_main_parallel P50,varianta_main_g1 P90,variantb_main_parallel P90,Unit
Build,Build time,213976,200583,213017,198736,221042,207289,ms
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,0,0,0,0,1,1,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,40,38,39,38,45,45,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,16,15,9,8,45,43,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3925,3668,2804,2559,10526,9840,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,660,621,412,371,1370,1322,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,1,1,ms
Task Type,org.gradle.api.tasks.bundling.Jar,44,44,34,34,96,92,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,1,1,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,3,3,3,3,8,8,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,14,13,8,8,17,16,ms
Task Type,com.google.android.gms.oss.licenses.plugin.DependencyTask,79,87,86,89,151,128,ms
Task Type,com.google.android.gms.oss.licenses.plugin.LicensesTask,85,94,88,88,171,166,ms
Task Type,com.google.firebase.crashlytics.buildtools.gradle.tasks.InjectMappingFileIdTask,24,25,22,22,46,48,ms
Task Type,com.google.gms.googleservices.GoogleServicesTask,26,25,18,17,65,63,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,12,12,12,11,21,20,ms
Task Type,com.android.build.gradle.tasks.MergeResources,268,282,30,28,197,240,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,514,480,129,124,1443,1321,ms
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,87,106,39,34,200,339,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,55,60,10,9,40,38,ms
Task Type,com.android.build.gradle.tasks.CompatibleScreensManifest,21,13,11,10,25,27,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,7,6,6,6,13,12,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryManifest,42,46,21,20,43,39,ms
Task Type,com.android.build.gradle.tasks.ProcessApplicationManifest,566,644,338,313,1090,1107,ms
Task Type,com.android.build.gradle.tasks.ProcessMultiApkApplicationManifest,77,93,16,15,212,208,ms
Task Type,com.android.build.gradle.tasks.ProcessPackagedManifestTask,107,160,36,39,161,173,ms
Task Type,com.android.build.gradle.tasks.CompileLibraryResourcesTask,20,21,11,10,31,29,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,31,30,18,17,52,48,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,1453,1358,1249,1190,2212,2091,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,11,11,8,8,19,20,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,3676,3501,2994,2816,6551,6396,ms
Task Type,com.android.build.gradle.tasks.TransformClassesWithAsmTask,365,311,106,99,950,672,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesJar,141,124,21,19,56,51,ms
Task Type,com.google.protobuf.gradle.ProtobufExtract,74,72,9,9,355,341,ms
Task Type,com.android.build.gradle.tasks.GenerateBuildConfig,31,30,26,27,56,59,ms
Task Type,com.google.protobuf.gradle.GenerateProtoTask,85,88,83,88,149,164,ms
